id,ref,pred,cer
0,Thứ trưởng Bộ Tài nguyên & môi trường Đặng Hùng Võ tâm đắc với,Thứ tháng Bảy năm ngày và mới tháng Đáng Hùng vào năm 1942 với:,4.516.129.032.258.060
1,"cơ chế "" khuyến khích nhà đầu tư thỏa thuận với người sử dụng đất để nhận","có thể ""khuyên khiếc, mua đánh bỏ thỏa thuận với người sửa đất để nhận",28.767.123.287.671.200
2,"chuyển nhượng hoặc thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử","chuyên nhúng hoặc thực quyển sử dụng đặt, nhân góp vốn bảng quyển sử",14.492.753.623.188.400
3,"dụng đất... "" Nhưng tại hội nghị hôm qua, tiếng nói từ các sở tài nguyên","dùng đặt ... "" Mừng tai hồi nghĩa hôm qua, tiếng nói: hãi cái gò tàn nguyện.",2.777.777.777.777.770
4,"& môi trường lại đều đồng thanh "" loại bỏ "" điều khoản này ra khỏi dự thảo.","và mời truyền lời thêm hành ""bao bố"" điều khoản này ra lời dù thảo.",37.333.333.333.333.300
5,Giám đốc Sở Tài nguyên & môi trường Hải Phòng Chu Minh Tuấn cho,gian đời Sở tài nguyên và môi trường Hải phòng chương Minh Trần che,26.984.126.984.126.900
6,"biết thành phố cảng từng áp dụng cơ chế "" thỏa thuận "" trong một số",brief think pho'can'g thing ap ding c2 ché'nao'flunon 'n' trong mtsi',5.074.626.865.671.640
7,"rất ít trường hợp, vậy mà đã gây phản ứng theo kiểu dây chuyền khá","rat it throughly, having made the giant plan in the Thekāndayclungit the",6.666.666.666.666.660
8,"mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh kia thỏa thuận","mamh: anh nay nhân triển rồi quay lại đời mới, anh lười trở thưa.",3.230.769.230.769.230
9,xong quay ra đòi thỏa thuận lại...,xong quay ra tôi thoa' thua lai...,20.588.235.294.117.600
10,"Chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như","cina lei de"" doanh nghiệp và người dân "" nói chuyện ""với nhau nhé",171.875
11,"vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi. "" Tôi cũng có suy","vậy, quyển của cô quan quan lý nhà nước sẽ mất đi. ""Tôi cũng có sự",8.823.529.411.764.700
12,"nghĩ như đồng chí "" Bỏ được qui định này đi thì tốt. Cùng một lúc chúng","night-night chui"" Bo'z there, guo this is may at the hot. Cani go mot the chuiing",676.056.338.028.169
13,ta thực hiện hai cơ chế (vừa Nhà nước thực hiện thu hồi đất như cách,ha thuc hien hai c2 chai 'cua Nha nhat' thuc hien thu hai dai thu cai,3.676.470.588.235.290
14,"làm lâu nay, vừa khuyến khích nhà đầu tư thỏa thuận với người sử dụng","kim nay, suân lehgren’ khuêc mê nân tâm hê thoa’ tham vô ngô dân: suân dâng",6.521.739.130.434.780
15,"đất) thì phức tạp - ông Trịnh Kiên Đĩnh, phó giám đốc Sở Tài","тай (тиціть) тап - їмну Трицьке Вінці, п'яй'ємна стос'ємо Там",90.0
16,"nguyên - môi trường và nhà đất Hà Nội, lên tiếng.",negligent - most dutifully was what death had no right to do.,8.571.428.571.428.570
17,"Bảo vệ lập trường của cơ quan soạn thảo, Thứ trưởng Đặng Hùng Võ khẳng định","Báo với, lớp thường cần quen sạch tháo, Thủ trưởng đứng vị trí thứ nhất.",46.666.666.666.666.600
18,""" trường hợp nhà đầu tư có nhu cầu thỏa thuận với người đang sử dụng đất, chúng","nǐnǐng hǎo, mā mā tā cā māo chāo, huān huā yǒu guān yǒu, dāng rì dōng dōng, dōng",6.835.443.037.974.680
19,"ta cần khuyến khích vì Nhà nước chẳng mất cái gì cả "". Ông Võ "" kêu gọi "" :","ta cán huỳnh biết rủ Nhà nước chẳng mất cái gì cả "". ông vợ ""kiên gọi"":",26.666.666.666.666.600
20,"chúng ta cần thay đổi trong quan điểm, không nên để hệ thống hành chính","chúng ta còn thay đổi trong quan điểm, không nên đọc thông hành chính",8.450.704.225.352.110
21,"ôm về mình nhiều quá, bởi ôm càng nhiều thì sai càng nhiều. Bộ trưởng Mai","ơn viêm nhiên quả, bởi ôm càng nhiên thì sao càng nhiên, Bí trưng Mai",2.465.753.424.657.530
22,Ái Trực tiếp lời : Các nước đều áp dụng cơ chế tự thỏa thuận khi thu hồi,Aí frute tróp lái: Che muiác đáu áp dưng có chí trí thao? Thưng khi thích,4.583.333.333.333.330
23,đất.,书法,100.0
24,"Ngay cả trường hợp ta không qui định, người dân và doanh nghiệp vẫn thực hiện","Ngay cũ trường hẹp tư liêng qui định, người dân và doanh nghiệp vẫn thực hiện",7.792.207.792.207.790
25,"cơ chế này. "" Nếu cứ dùng quyền lực hành chính nhà nước với mô hình khuôn","of the day. ""We'll do things right, the hand that makes music is the hand that does it.""",8.493.150.684.931.500
26,"cứng, người dân sẽ kêu "" - ông Trực nói. Chuyện "" bố "" - "" con "". Phó giám đốc","cùng, người dân sức kêu ""ông Trúc nói. Chuyên ""bơ"" - ""con"". Phó Giám đốc.",19.230.769.230.769.200
