id,ref,pred,cer
0,Thứ trưởng Bộ Tài nguyên & môi trường Đặng Hùng Võ tâm đắc với,Thứ trưởng Bộ Tài nguyên và môi trường Đảng Hưng Võ đã đã với,14.516.129.032.258.000
1,"cơ chế "" khuyến khích nhà đầu tư thỏa thuận với người sử dụng đất để nhận","có chế "" khuyến khích, mà đầu tư thỏa thuận với người sử đã đã đến",2.054.794.520.547.940
2,"chuyển nhượng hoặc thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử","chuyển những hoặc thực quyết sử dụng đất, nhằm góp vốn bảng quyết sử",15.942.028.985.507.200
3,"dụng đất... "" Nhưng tại hội nghị hôm qua, tiếng nói từ các sở tài nguyên","dụng đất... "" Nhưng tại hội nghị hôm qua, tiếng nói họ các sở tài nguyên",27.777.777.777.777.700
4,"& môi trường lại đều đồng thanh "" loại bỏ "" điều khoản này ra khỏi dự thảo.","và mới trường lên tiến hành "" toạ bộ "" điều khoản này ra khỏi dự thảo.",22.666.666.666.666.600
5,Giám đốc Sở Tài nguyên & môi trường Hải Phòng Chu Minh Tuấn cho,giảm đô số tà nguyên và mới trường Hải Phòng chưa mình tuân chế,30.158.730.158.730.100
6,"biết thành phố cảng từng áp dụng cơ chế "" thỏa thuận "" trong một số","biết thành phố cảng đứng áp dụng các chế "" phía thủy "" trong một số",13.432.835.820.895.500
7,"rất ít trường hợp, vậy mà đã gây phản ứng theo kiểu dây chuyền khá","rất ít trường hợp, vậy mà đã gây phản ánh vì thọ kiến đầy chuyển tế",22.727.272.727.272.700
8,"mạnh : anh này nhận tiền rồi quay lại đòi nữa, anh kia thỏa thuận","mạnh : anh này nhận tiền rồi quay lại đối nếu cần, anh lười hoặc thuận",23.076.923.076.923.000
9,xong quay ra đòi thỏa thuận lại...,xông quay ra đôi thoại thuận lựa...,20.588.235.294.117.600
10,"Chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như","chưa kể để doanh nghiệp và người dân "" nói chuyện "" với nhau như",1.5625
11,"vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi. "" Tôi cũng có suy","vậy, quyền của cơ quan quản lý nhà nước sẽ mất đi "". Tôi cũng có suy",2.941.176.470.588.230
12,"nghĩ như đồng chí "" Bỏ được qui định này đi thì tốt. Cùng một lúc chúng","nghị như đường chợ "" Bộ được qui định này đi từ tốt. Cũng một lúc chúng",11.267.605.633.802.800
13,ta thực hiện hai cơ chế (vừa Nhà nước thực hiện thu hồi đất như cách,ra thực hiện hai cơ chế (vừa nhà nước thực hiện thu hồi đất như cách,2.941.176.470.588.230
14,"làm lâu nay, vừa khuyến khích nhà đầu tư thỏa thuận với người sử dụng","làm nảy, vừa không khác mà đã đến hỗ thợa thạnh với người sử dụng",3.478.260.869.565.210
15,"đất) thì phức tạp - ông Trịnh Kiên Đĩnh, phó giám đốc Sở Tài","đất) thì phức tạp - ông Trịnh Kiên Đình, phó giám đốc Sở Tài",16.666.666.666.666.600
16,"nguyên - môi trường và nhà đất Hà Nội, lên tiếng.","nguyện - một trường và nhà đất Hà Nội, lên đường.",12.244.897.959.183.600
17,"Bảo vệ lập trường của cơ quan soạn thảo, Thứ trưởng Đặng Hùng Võ khẳng định","Báo rõ lập thường của cơ quan Hà Nội, Thứ trưởng Đặng Thống Võ khẳng định",20.0
18,""" trường hợp nhà đầu tư có nhu cầu thỏa thuận với người đang sử dụng đất, chúng","nhưng hấp nhà đầu tư có nhu cầu thỏa thuận với người đang rồi dừng đặt, chúng",13.924.050.632.911.300
19,"ta cần khuyến khích vì Nhà nước chẳng mất cái gì cả "". Ông Võ "" kêu gọi "" :","tả cẩn khuyến khích từ Nhà nước chẳng mất cái gì cả "". Ông Võ "" liên gọi "" :",9.333.333.333.333.330
20,"chúng ta cần thay đổi trong quan điểm, không nên để hệ thống hành chính","chúng ta cần thay đổi trong quan điểm, không nên đổ hết thông hành chính",5.633.802.816.901.400
21,"ôm về mình nhiều quá, bởi ôm càng nhiều thì sai càng nhiều. Bộ trưởng Mai","Ôm về mình khiến quá, bởi ôm càng nhiều thì sai càng nhiều. Bị trừng mãi",1.232.876.712.328.760
22,Ái Trực tiếp lời : Các nước đều áp dụng cơ chế tự thỏa thuận khi thu hồi,Ái Trực tiếp lại : Các nước đầu áp dụng có chế độ thỏa thuận khi thu hồi,6.944.444.444.444.440
23,đất.,đạt.,25.0
24,"Ngay cả trường hợp ta không qui định, người dân và doanh nghiệp vẫn thực hiện","Ngày cả trường hợp ta không qui định, người dân và doanh nghiệp vẫn thực hiện",12.987.012.987.012.900
25,"cơ chế này. "" Nếu cứ dùng quyền lực hành chính nhà nước với mô hình khuôn","cơ chế này. "" Nếu cứ dùng quyền lực hành chính nhà nước với mô hình thông",410.958.904.109.589
26,"cứng, người dân sẽ kêu "" - ông Trực nói. Chuyện "" bố "" - "" con "". Phó giám đốc","cũng, người dân sơ kên "" - ông Trực nói. Chuyện "" bố "" - "" con "". Phó Giám đốc",5.128.205.128.205.120
27,Sở Tài nguyên - môi trường & nhà đất Hà Nội Trịnh Kiên Đĩnh đề nghị : thẩm,Số Tài nguyên - mới trường ở nhà đất Hà Nội Trình Kiến Điều đề nghị : Hầm,14.864.864.864.864.800
28,"quyền thu hồi đất, giao đất phải được thể hiện theo tinh thần "" ông bố bao trùm","quyền hơn là đất, giao đất phải được thỏa thuận thỏa với bảo trợ vụ",4.177.215.189.873.410
29,"ông con "". Theo đó, UBND cấp tỉnh, thành phố được quyền thu hồi, giao đất","Đông còn "" theo đó, UBND cấp tỉnh, thành phố được quyền thu hồi, giao đất",547.945.205.479.452
30,"thuộc thẩm quyền của UBND cấp quận, huyện (thay vì qui định như hiện nay,","thực thẩm quyền của UBND cấp quận, huyện (Thay ơi tại địa chỉ thôn này,",2.054.794.520.547.940
31,""" ông bố "" muốn làm điều này phải thông báo cho "" ông con "" thực hiện, vừa nhiêu",""" ông bố "" nước làm điều này phải không báo cho ông con "" thực hiện, vừa nhiều",10.0
32,khê vừa không thể hiện hướng đi cải cách thủ tục hành chính).,khó vừa không thể làm những điều cách thủ tục thành công).,26.229.508.196.721.300
33,"Lập tức Thứ trưởng Đặng Hùng Võ phản ứng : "" ông bố "" có quyền của "" ông bố "",","Lập tổ Thứ trưởng Đặng Hùng Võ phân công : "" Ông bố có quyền của "" ông bố "",",10.256.410.256.410.200
34,""" ông con "" có quyền của "" ông con "". Luật không cho phép "" ông bố "" làm thay "" ông",""" Ông còn có quyền của "" ông con "". Lượt không cho phép "" ông bố "" làm thay "" ông",7.228.915.662.650.600
35,"con "". Trường hợp nào làm thay là phạm luật, chỉ có điều hiện nay các "" ông","con "". Trường hợp nào làm thay là phạm luật, chỉ có điều hòa ngoài các công",12.0
36,"con "" không dám kêu mà thôi!","còn "" không dám kiều mà thôi! "".",21.428.571.428.571.400
